State,PHN code,PHN area name,Reporting Year,Age group,Number of registered children,Number fully immunised,Number not fully immunised,Number of registered IndigAus  children,Number IndigAus fully immunised,Number IndigAus not fully immunised,Interpret with caution (#),,,,
NSW,PHN108,Hunter New England and Central Coast,2014-15,1 year,"15,325","14,260","1,065","1,497","1,384",113,,,,,
NSW,PHN104,Nepean Blue Mountains,2015-16,1 year,"5,075","4,783",292,239,221,18,,,,,
NSW,PHN109,North Coast,2012-13,5 years,"6,223","5,476",747,572,529,43,,,,,
NSW,PHN104,Nepean Blue Mountains,2016-17,2 years,"5,205","4,762",443,268,248,20,,,,,
NSW,PHN110,Murrumbidgee,2015-16,1 year,"2,968","2,820",148,309,286,23,,,,,
NSW,PHN101,Central and Eastern Sydney,2015-16,1 year,"19,042","17,603","1,439",215,199,16,,,,,
NSW,PHN103,Western Sydney,2016-17,1 year,"14,546","13,458","1,088",259,240,19,,,,,
NSW,PHN101,Central and Eastern Sydney,2012-13,5 years,"17,168","15,353","1,815",179,166,13,,,,,
NSW,PHN101,Central and Eastern Sydney,2014-15,5 years,"17,558","15,951","1,607",224,208,16,,,,,
NSW,PHN107,Western NSW,2016-17,1 year,"4,182","3,987",195,902,838,64,,,,,
NSW,PHN103,Western Sydney,2015-16,5 years,"14,573","13,556","1,017",247,230,17,,,,,
NSW,PHN104,Nepean Blue Mountains,2013-14,2 years,"5,006","4,664",342,190,177,13,,,,,
NSW,PHN108,Hunter New England and Central Coast,2012-13,2 years,"15,456","14,599",857,"1,229","1,145",84,,,,,
NSW,PHN108,Hunter New England and Central Coast,2013-14,2 years,"15,768","14,861",907,"1,364","1,272",92,,,,,
NSW,PHN104,Nepean Blue Mountains,2013-14,5 years,"5,107","4,766",341,166,155,11,,,,,
NSW,PHN105,South Western Sydney,2015-16,2 years,"14,120","12,732","1,388",291,272,19,,,,,
NSW,PHN101,Central and Eastern Sydney,2016-17,5 years,"17,535","16,137","1,398",208,195,13,,,,,
NSW,PHN108,Hunter New England and Central Coast,2015-16,1 year,"15,100","14,325",775,"1,577","1,479",98,,,,,
NSW,PHN106,South Eastern NSW,2012-13,2 years,"6,810","6,383",427,420,394,26,,,,,
NSW,PHN104,Nepean Blue Mountains,2012-13,5 years,"5,109","4,745",364,146,137,9,,,,,
NSW,PHN105,South Western Sydney,2015-16,5 years,"14,263","13,407",856,326,306,20,,,,,
NSW,PHN106,South Eastern NSW,2014-15,5 years,"7,507","7,019",488,400,376,24,,,,,
NSW,PHN104,Nepean Blue Mountains,2016-17,1 year,"5,256","4,961",295,251,236,15,,,,,
NSW,PHN105,South Western Sydney,2016-17,1 year,"14,268","13,287",981,373,351,22,,,,,
NSW,PHN106,South Eastern NSW,2013-14,5 years,"7,392","6,944",448,342,322,20,,,,,
NSW,PHN105,South Western Sydney,2013-14,5 years,"14,015","13,029",986,260,245,15,,,,,
NSW,PHN108,Hunter New England and Central Coast,2012-13,5 years,"16,172","15,184",988,"1,079","1,017",62,,,,,
NSW,PHN109,North Coast,2013-14,5 years,"6,314","5,603",711,575,542,33,,,,,
NSW,PHN105,South Western Sydney,2012-13,5 years,"14,128","13,068","1,060",263,248,15,,,,,
NSW,PHN104,Nepean Blue Mountains,2014-15,5 years,"5,191","4,882",309,186,176,10,,,,,
NSW,PHN105,South Western Sydney,2014-15,5 years,"13,954","13,088",866,262,248,14,,,,,
NSW,PHN106,South Eastern NSW,2012-13,5 years,"7,393","6,886",507,339,321,18,,,,,
NSW,PHN109,North Coast,2016-17,1 year,"5,289","4,766",523,627,595,32,,,,,
NSW,PHN103,Western Sydney,2014-15,5 years,"14,275","13,190","1,085",236,224,12,,,,,
NSW,PHN109,North Coast,2014-15,5 years,"6,217","5,545",672,549,522,27,,,,,
NSW,PHN106,South Eastern NSW,2016-17,1 year,"6,911","6,571",340,490,466,24,,,,,
NSW,PHN109,North Coast,2015-16,5 years,"6,080","5,491",589,612,583,29,,,,,
NSW,PHN108,Hunter New England and Central Coast,2016-17,1 year,"14,997","14,321",676,"1,711","1,630",81,,,,,
NSW,PHN103,Western Sydney,2016-17,5 years,"15,027","14,012","1,015",275,262,13,,,,,
NSW,PHN108,Hunter New England and Central Coast,2013-14,5 years,"16,131","15,238",893,"1,181","1,126",55,,,,,
NSW,PHN110,Murrumbidgee,2016-17,1 year,"2,963","2,849",114,311,297,14,,,,,
NSW,PHN108,Hunter New England and Central Coast,2014-15,5 years,"15,952","15,119",833,"1,143","1,094",49,,,,,
NSW,PHN110,Murrumbidgee,2015-16,5 years,"3,202","3,074",128,263,252,11,,,,,
NSW,PHN110,Murrumbidgee,2014-15,5 years,"3,293","3,153",140,221,212,9,,,,,
NSW,PHN106,South Eastern NSW,2016-17,5 years,"7,477","7,103",374,502,483,19,,,,,
NSW,PHN107,Western NSW,2015-16,5 years,"4,310","4,144",166,721,694,27,,,,,
NSW,PHN108,Hunter New England and Central Coast,2015-16,5 years,"16,065","15,333",732,"1,342","1,295",47,,,,,
NSW,PHN109,North Coast,2016-17,5 years,"6,346","5,747",599,636,614,22,,,,,
NSW,PHN108,Hunter New England and Central Coast,2016-17,5 years,"16,478","15,777",701,"1,466","1,418",48,,,,,
NSW,PHN107,Western NSW,2014-15,5 years,"4,372","4,180",192,740,716,24,,,,,
NSW,PHN107,Western NSW,2016-17,5 years,"4,275","4,105",170,859,833,26,,,,,
NSW,PHN106,South Eastern NSW,2015-16,5 years,"7,257","6,874",383,448,435,13,,,,,
NSW,PHN110,Murrumbidgee,2016-17,5 years,"3,165","3,035",130,289,282,7,,,,,
NSW,PHN105,South Western Sydney,2016-17,5 years,"14,740","13,879",861,303,296,7,,,,,
NSW,PHN102,Northern Sydney,2014-15,2 years,"11,549","10,122","1,427",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2012-13,5 years,"11,643","10,362","1,281",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2016-17,2 years,"11,185","9,958","1,227",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2015-16,2 years,"10,805","9,656","1,149",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2013-14,1 year,"11,240","10,076","1,164",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2013-14,5 years,"11,589","10,420","1,169",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2014-15,5 years,"12,093","10,936","1,157",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2013-14,2 years,"10,983","9,933","1,050",NP,NP,NP,,,,,
NSW,PHN102,Northern Sydney,2012-13,1 year,"10,628","9,616","1,012",NP,NP,NP,,,,,
NSW,PHN102,Northern Sydney,2014-15,1 year,"10,627","9,646",981,NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2012-13,2 years,"10,953","9,965",988,NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2016-17,5 years,"11,891","10,834","1,057",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2015-16,5 years,"11,974","10,936","1,038",NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2015-16,1 year,"10,918","10,118",800,NP,NP,NP,#,,,,
NSW,PHN102,Northern Sydney,2016-17,1 year,"10,599","9,899",700,NP,NP,NP,#,,,,
NSW,PHN104,Nepean Blue Mountains,2015-16,5 years,"5,197","4,920",277,NP,NP,NP,,,,,
NSW,PHN104,Nepean Blue Mountains,2016-17,5 years,"5,327","5,046",281,NP,NP,NP,,,,,
NT,PHN701,Northern Territory,2016-17,2 years,"3,727","3,285",442,"1,347","1,154",193,,,,,
NT,PHN701,Northern Territory,2015-16,2 years,"3,549","3,155",394,"1,248","1,097",151,,,,,
NT,PHN701,Northern Territory,2014-15,1 year,"3,795","3,436",359,"1,433","1,264",169,,,,,
